title,price,image_url,discount
Xiaomi Redmi Note 3 16GB (2GB RAM) - (6 months Seller Warranty),Rs.9199,https://cdn.shopclues.com/images/thumbnails/43826/280/1/Xiaomi1488262506.jpg,8% Off
"Panasonic Eluga i2 (2 GB, 16 GB, Grey)",Rs.6199,https://cdn.shopclues.com/images/thumbnails/39289/280/1/94481600panasonicelugai2eb90s5oey2400x400imaeb79hzkt3gjpe14642585611466246360.jpg,31% Off
"iVooMi IV SMART 4G (512 MB,4 GB,Champagne Gold)",Rs.2999,https://cdn.shopclues.com/images/thumbnails/45066/280/1/115023954-45066434-1515393175.jpg,17% Off
Moto X Play(With Turbo Charger) 16GB - (6 Months Gadgetwood Warranty),Rs.7999,https://cdn.shopclues.com/images/thumbnails/43194/280/1/REFURBISHEDMotorolaMotoXPlaySDL61703559614d2161492176387.jpg,38% Off
Moto X Play 32GB  - (6 Months Gadgetwood Warranty),Rs.9100,https://cdn.shopclues.com/images/thumbnails/42625/280/1/motoxplay1000dpdx9fnm1492174971.jpg,35% Off
"HTC Desire 626G+ (1 GB,8 GB,Blue Lagoon)",Rs.11990,https://cdn.shopclues.com/images/thumbnails/88121/280/1/130858773htchtcdesire626dualsimltenaoriginalimaefsrfwxfyptpw11511464171.jpg,35% Off
"Samsung Galaxy C9 Pro (6 GB,64 GB,Gold)",Rs.28699,https://cdn.shopclues.com/images/thumbnails/54228/280/1/frontgold148533550614853448511486398725.png,26% Off
Moto G plus 4th Gen 32GB - (6 Months seller Warranty),Rs.11199,https://cdn.shopclues.com/images/thumbnails/42834/280/1/96997230G4Plus1493192149.jpg,20% Off
"Micromax E471 (2 GB, 16 GB, BLACK)",Rs.8999,https://cdn.shopclues.com/images/thumbnails/37880/280/1/92889461micromaxe471knight2400x400imae8bvrtfcmehfw14525163681463892694.jpg,10% Off
Micromax Nitro 4G E455-(6 months Brand Warranty),Rs.12499,https://cdn.shopclues.com/images/thumbnails/40359/280/1/NIT4G514402293511467303124.png,54% Off
"Swipe Konnect Neo 4G (512 MB, 4 GB, Black)",Rs.1999,https://cdn.shopclues.com/images/thumbnails/78276/280/1/101876702KonnectNEO4GMainImage1500026038.jpg,25% Off
"Swipe Elite Note (3 GB, 16 GB, BLACK)",Rs.5999,https://cdn.shopclues.com/images/thumbnails/58178/280/1/109963647EliteNoteFront1494229197.jpg,38% Off
"Letv Le 2 3GB,32 GB - (6 months Brand Warranty)",Rs.7499,https://cdn.shopclues.com/images/thumbnails/85010/280/1/97264960LeEcoLe2X52632GBGreySDL19958608070d7fd1506194599.jpg,35% Off
